,id,name,comics.available,series.available,stories.available,events.available
45,1010692,Rockslide,28,14,31,3
46,1009546,Rogue,630,164,784,25
47,1010967,Rogue (Age of Apocalypse),9,4,9,1
48,1017319,Rogue (Deadpool),0,0,0,0
49,1010966,Rogue (Ultimate),36,9,59,0
50,1017478,Rogue (X-Men: Battle of the Atom),0,0,0,0
51,1010781,Roland Deschain,10,6,10,0
52,1011398,Romulus,22,7,23,1
53,1010344,Ronan,56,26,62,5
54,1010710,Ronin,16,10,17,2
55,1011117,Roughhouse,7,3,5,0
56,1009549,Roulette,1,1,2,0
57,1009595,Roxanne Simpson,0,0,0,0
58,1009311,Rumiko Fujikawa,8,1,13,0
59,1010747,Runaways,137,36,170,1
60,1009551,Russian,0,0,0,0
0,1009552,S.H.I.E.L.D.,165,72,196,1
1,1009553,Sabra,21,13,21,0
2,1009554,Sabretooth,309,113,326,8
3,1010969,Sabretooth (Age of Apocalypse),21,7,21,1
4,1010970,Sabretooth (House of M),1,1,1,1
5,1010968,Sabretooth (Ultimate),23,7,39,0
6,1009555,Sage,39,16,44,0
7,1011325,Salem's Seven (Ultimate),4,1,8,0
8,1011126,Sally Floyd,7,3,6,1
9,1011156,Salo,1,1,1,1
10,1009558,Sandman,120,45,150,0
11,1010711,Santa Claus,2,2,4,0
12,1009559,Saracen (Muzzafar Lambert),0,0,0,0
13,1009560,Sasquatch (Walter Langkowski),96,35,114,4
14,1011035,Satana,33,15,48,0
15,1009561,Sauron,62,27,66,1
16,1011048,Scalphunter,26,7,26,2
17,1010861,Scarecrow (Ebenezer Laughton),13,12,13,0
18,1011197,Scarlet Spider (Ben Reilly),77,29,82,0
19,1011426,Scarlet Spider (Kaine),82,20,89,1
20,1009562,Scarlet Witch,544,188,614,17
21,1010972,Scarlet Witch (Age of Apocalypse),0,0,0,0
22,1017308,Scarlet Witch (Marvel Heroes),0,0,0,0
23,1010971,Scarlet Witch (Ultimate),29,14,41,0
24,1010790,Scorpion (Carmilla Black),9,3,9,1
25,1009563,Scorpion (Mac Gargan),37,17,36,1
